Individual,collection,AHR,AIING,BDNF,BMP2,HMGB2,HNFL,NB22519,PSMC1,PAX1P1,R35,RAG-1,TB01,TB29,TB73,ZFHX1B
Gflavimaculata_RCT28,Robert Thomson Collection,MT958421,MT964095,MT958957,MT959497,MT965390,MT959990,MT960393,MG728573,KX558694,MT961329,MT961814,MT962253,KX558721,MT963166,MT963558
Gflavomarginatus_GOFL01,Taylor Edwards Collection,MT958423,MT964097,MT959134,MT959499,MT965170,MT959992,MT960395,MT964627,MT961129,MT961331,MT961816,MT962255,MT962716,MT963168,MT963560
Gflavomarginatus_GOFL02,Taylor Edwards Collection,MT958424,MT964098,MT959135,MT959500,MT965169,MT959993,MT960396,MT964628,MT961000,MT961332,MT961817,MT962256,MT962717,MT963169,MT963561
Ggeographica_RCT396,Robert Thomson Collection,KX558384,MT964100,MT959014,MG728194,KX559063,KX559279,MG728414,MG728577,KX558695,KX559327,MT961819,MG728687,KX558722,MG728849,KX559097
Ggeographica_RCT94,Robert Thomson Collection,KX558385,MT964099,MT958950,MG728196,KX559064,KX559280,MG728416,MG728579,MT960839,MT961333,MT961818,KX559245,KX558723,MT963170,MT963562
Ggibbonsi_RCT170,Robert Thomson Collection,MT958427,MT964101,MT958945,MT959503,MT965394,MT959996,MG728417,MT964831,MT960806,MT961335,MT961820,MT962259,MT962720,MG728852,MT963564
Ggibbonsi_RCT185,Robert Thomson Collection,MT958428,MT964102,MT958944,MT959504,MT965393,MT959997,MT960400,MT964832,MT960717,MT961336,MT961821,MT962260,MT962721,MG728853,MT963565
Ghamiltonii_HBS108665,H.B Shaffer Collection,MT958429,MT964103,MT959033,MT959505,MT965157,MT959998,MT960401,MT964677,MT961084,MT961337,MT961822,MT962261,MT962722,MT963174,MT963566
Ginsculpta_HBS108711,H.B Shaffer Collection,KX558386,KX558873,KX558349,KX558948,KX559065,FJ770636,KX559213,KX558800,KX558697,FJ770680,FJ770725,KX559246,FJ770815,FJ770861,KX559099
Ginsculpta_HBS108712,H.B Shaffer Collection,MT958432,KX558874,MT958921,MT959508,MT965031,FJ770635,MT960404,KX558801,KX558698,FJ770679,FJ770724,KX559247,FJ770814,FJ770860,MT963569
Gjaponica_HBS121585,H.B Shaffer Collection,MT958434,MT964108,MT959210,MT959510,MT965214,MT960000,MT960406,MT964718,MT961098,MT961340,MT961823,MT962266,MT962725,MT963177,MT963571
Gjaponica_HBS121586,H.B Shaffer Collection,MT958435,MT964109,MT959224,MT959511,MT965213,MT960001,MT960407,MT964719,MT961099,MT961341,MT961824,MT962267,MT962726,MT963178,MT963572
Gmorafkai_GOAG03,Taylor Edwards Collection,MT958436,MT964110,MT959136,MT959512,MT965174,MT960002,MT960408,MT964616,MT960905,MT961342,MT961825,MT962268,MT962727,MT963179,MT963573
Gmorafkai_Sinaloa_LC02,Taylor Edwards Collection,MT958438,MT964112,MT959131,MT959514,MT965173,MT960004,MT960410,MT964623,MT960769,MT961344,MT961827,MT962270,MT962729,MT963181,MT963575
Gmorafkai_Sinaloa_LS05,Taylor Edwards Collection,MT958439,MT964113,MT959133,MT959515,MT965179,MT960005,MT960411,MT964621,MT960716,MT961345,MT961828,MT962271,MT962730,MT963182,MT963576
Gmorafkai_Sinaloa_LS09,Taylor Edwards Collection,MT958440,MT964114,MT959138,MT959516,MT965178,MT960006,MT960412,MT964624,MT960810,MT961346,MT961829,MT962272,MT962731,MT963183,MT963577
Gmorafkai_Sinaloa_SM06,Taylor Edwards Collection,MT958441,MT964115,MT959125,MT959517,MT965180,MT960007,MT960413,MT964622,MT961060,MT961347,MT961830,MT962273,MT962732,MT963184,MT963578
Gmuhlenbergii_HBS108716,H.B Shaffer Collection,KX558388,KX558875,KX558351,KX558950,KX559067,FJ770637,KX559215,KX558802,KX558699,FJ770681,FJ770726,KX559248,FJ770816,FJ770862,MT963579
Gmuhlenbergii_HBS108717,H.B Shaffer Collection,MT958443,MT964117,MT958938,MT959519,MT965033,FJ770638,MT960415,KC687746,MT960874,FJ770682,MT961831,MT962275,FJ770817,FJ770863,MT963580
Gndelticola_RCT291,Robert Thomson Collection,MT958444,MT964118,MT958960,MT959520,MT965388,MT960009,MT960416,MG728584,MT960888,MT961349,MT961832,MG728694,MT962734,MT963186,MT963581
Gndelticola_RCT292,Robert Thomson Collection,MT958445,MT964119,MT958961,MG728202,MG728312,MG728367,MG728422,MT964818,MT960841,MT961350,MT961833,MT962277,MT962735,MT963187,MT963582
Gnnigrinoda_RCT259,Robert Thomson Collection,MG729181,MT964121,MT958962,MT959523,MT965386,MT960012,MG728424,MT964820,MT960860,MT961352,MT961835,MT962279,MT962736,MT963189,MT963584
Goculifera_RCT26,Robert Thomson Collection,MG729184,MT964122,MT958956,MT959524,MT965385,MT960013,MT960420,MT964821,MT960832,MT961353,MT961836,MG728700,MT962737,MT963190,MT963585
Goculifera_RCT315,Robert Thomson Collection,MG729185,MT964123,MT958963,MG728208,MT965384,MT960014,MT960421,MT964822,MT960823,MT961354,MT961837,MG728701,MT962738,MG728862,MT963586
Goouachitensis_RCT406,Robert Thomson Collection,MG729186,MT964125,MT958986,MG728209,MG728319,MT960016,MT960423,MG728592,MT960862,MT961356,MT961839,MG728702,MT962739,MG728863,MT963588
Gosabinensis_RCT444,Robert Thomson Collection,MG729189,MT964127,MT959000,MT959529,MG728322,MT960018,MT960425,MG728595,MT960863,MT961358,MT961841,MG728705,MT962740,MT963195,MT963590
Gpkohnii_RCT10,Robert Thomson Collection,MT958456,MT964130,MT958996,MT959532,MG728325,MG728380,MT960428,MT964814,MT960875,MT961361,MT961842,MG728708,MT962743,MT963197,MT963593
Gplatynota_HBS119441,H.B Shaffer Collection,MT958458,MT964132,MT959175,MT959534,MT965365,MT960023,MT960430,MT964643,MT961039,MT961363,MT961844,MT962290,MT962744,MT963199,MT963595
Gplatynota_HBS119442,H.B Shaffer Collection,MT958459,MT964133,MT959176,MT959535,MT965146,MT960024,MT960431,MT964642,MT961052,MT961364,MT961845,MT962291,MT962745,MT963200,MT963596
Gplatynota_HBS119443,H.B Shaffer Collection,MT958460,MT964134,MT959172,MT959536,MT965432,MT960025,MT960432,MT964644,MT961053,MT961365,MT961846,MT962292,MT962746,MT963201,MT963597
Gpolyphemus_HBS108684,H.B Shaffer Collection,MT958461,MT964135,MT959139,MT959537,MT965172,MT960026,MT960433,MT964625,MT961092,MT961366,MT961847,MT962293,MT962747,MT963202,MT963598
Gpolyphemus_HBS108686,H.B Shaffer Collection,MT958462,MT964136,MT959126,MT959538,MT965171,MT960027,MT960434,MT964626,MT961073,MT961367,MT961848,MT962294,MT962748,MT963203,MT963599
Gppseudogeographica_RCT379,Robert Thomson Collection,MT958464,MT964138,MT959015,MG728219,MT965406,MT960029,MT960436,MG728602,MT960865,MT961369,MT961850,MT962296,MT962750,MT963205,MT963601
Gppseudogeographica_RCT83,Robert Thomson Collection,MT958463,MT964137,MT958985,MT959539,MT965403,MT960028,MG728440,MG728603,MT960864,MT961368,MT961849,MG728713,MT962749,MT963204,MT963600
Gpulchra_RCT258,Robert Thomson Collection,MT958466,MT964140,MT959016,MT959542,MT965391,MT960031,MG728444,MG728607,MT960793,MT961371,MT961852,MT962298,MT962752,MT963207,MT963603
Gpulchra_RCT34,Robert Thomson Collection,MT958465,MT964139,MT958987,MT959541,MT965392,MT960030,MT960437,MT964833,MT960843,MT961370,MT961851,MT962297,MT962751,MG728879,MT963602
Gspengleri_AMNH106625,American Museum of Natural History,MT958467,MT964141,MT959207,MT959543,MT965530,MT960032,MT960439,MT964698,MT961026,MT961372,MT961853,MT962299,MT962753,MT963208,MT963604
Gsulcata_HBS119112,H.B Shaffer Collection,MT958470,MT964144,MT959171,MT959545,MT965144,MT960034,MT960442,MT964648,MT961106,MT961375,MT961855,MT962302,MT962756,MT963211,MT963607
Gversa_RCT327,Robert Thomson Collection,MT958472,MT964146,MT958997,MG728226,MG728336,MG728391,MT960444,MG728609,MT960844,MT961377,MT961857,MG728719,MT962758,MT963213,MT963609
Gversa_RCT69,Robert Thomson Collection,MT958471,MT964145,MT959019,MG728228,MT965402,MT960035,MT960443,MG728611,MT960778,MT961376,MT961856,MG728721,MT962757,MT963212,MT963608
Hannandalii_FMNH259074,Field Museum of Natural History,JN797883,JN797930,MT959143,JN797899,JN797946,JN797988,JN797915,MT964695,JN798003,JN798046,MT961858,JN798031,JN798061,MT963214,MT963610
Hdepressa_HBS112432,H.B Shaffer Collection,JN797885,JN797932,MT959188,JN797901,JN797948,JN797990,JN797917,MT964693,JN798005,JN798048,MT961862,JN798033,JN798063,MT963217,MT963614
Hdepressa_HBS112434,H.B Shaffer Collection,JN797886,JN797933,MT959189,JN797902,JN797949,JN797991,JN797918,MT964694,MT961169,JN798049,MT961863,JN798034,JN798064,MT963218,MT963615
