Individual,collection,AHR,AIING,BDNF,BMP2,HMGB2,HNFL,NB22519,PSMC1,PAX1P1,R35,RAG-1,TB01,TB29,TB73,ZFHX1B
Cdenticulata_MVZ175382,Museum of Vertebrate Zoology,MT958310,MT963982,MT959169,MT959384,MT965519,MT959915,MT960329,MT964665,MT961128,MT961230,MT961721,MT962146,MT962637,MT963077,MT963444
Cdenticulata_MVZ175392,Museum of Vertebrate Zoology,MT958311,MT963983,MT959156,MT959385,MT965143,MT959916,MT960330,MT964666,MT961078,MT961231,MT961722,MT962147,MT962638,MT963078,MT963445
Cdorsalis_HBS118632,H.B Shaffer Collection,MT958313,MT963985,MT958937,MT959387,MT965059,MT959918,MT960332,MT964557,-,MT961233,-,MT962149,MT962640,MT963080,MT963447
Cdorsalis_HBS26211,H.B Shaffer Collection,MT958312,MT963984,MT958936,MT959386,MT965060,MT959917,MT960331,MT964567,MT960920,MT961232,MT961723,MT962148,MT962639,MT963079,MT963446
Cephyppium_HBS117540,H.B Shaffer Collection,MT958314,MT963986,MT959159,MT959388,MT965136,MT959919,MT960333,MT964655,MT961116,MT961234,MT961724,MT962150,MT962641,MT963081,MT963448
Cephyppium_HBS117541,H.B Shaffer Collection,MT958315,MT963987,MT959161,MT959389,MT965134,MT959920,MT960334,MT964656,MT961070,MT961235,-,MT962151,MT962642,MT963082,-
Cexpansa_AMR125066,University of Canberra Wildlife Tissue Collection,MT958316,MT963988,MT959232,MT959390,MT965299,MT959921,-,MT964791,MT960983,MT961236,MT961725,MT962152,MT962643,MT963083,MT963449
Cfimbriatus_HBS32240,H.B Shaffer Collection,MT958317,MT963989,MT959302,MT959391,MT965303,MT959922,-,MT964937,MT961177,AY339640,AY687918,MT962153,MT962644,-,MT963450
Cfimbriatus_HBS32250,H.B Shaffer Collection,MT958318,MT963990,MT959298,MT959392,MT965302,MT959923,-,MT964890,-,MT961237,MT961726,MT962154,MT962645,-,MT963451
Cflavomarginata_HBS41895,H.B Shaffer Collection,JQ596015,JQ596055,JQ596095,JQ596135,JQ596175,EF011284,JQ596224,JQ596398,JQ596362,EF011434,JQ596444,JQ596491,JQ596530,JQ596568,JQ596606
Cflavomarginata_MVZ230464,Museum of Vertebrate Zoology,JQ596016,JQ596056,JQ596096,JQ596136,JQ596176,EF011283,JQ596225,JQ596399,JQ596363,EF011433,JQ596445,JQ596492,JQ596531,JQ596569,JQ596607
Cfrenatum_HBS117691,H.B Shaffer Collection,MT958319,MT963991,MT958818,MT959393,MT965444,-,MT960335,MT964478,MT960733,MT961238,MT961727,MT962155,MT962646,MT963084,MT963452
Cfrenatum_HBS117693,H.B Shaffer Collection,MT958320,MT963992,MT958819,MT959394,MT965443,-,MT960336,MT964479,MT960735,MT961239,MT961728,MT962156,MT962647,-,MT963453
Cfusca_CAS210070,California Academy of Sciences,JN797882,JN797929,MT959217,JN797898,JN797945,JN797987,JN797914,MT964990,JN798002,AM931701,MT961729,JN798030,JN798060,MT963085,MT963454
Cgalbinifrons_FMNH255694,Field Museum of Natural History,JQ596017,JQ596057,JQ596097,JQ596137,JQ596177,EF011285,JQ596226,JQ596400,JQ596364,EF011435,JQ596446,JQ596493,JQ596532,JQ596570,JQ596608
Cgalbinifrons_FMNH256544,Field Museum of Natural History,JQ596018,JQ596058,JQ596098,JQ596138,JQ596178,EF011286,JQ596227,JQ596401,JQ596365,EF011436,JQ596447,JQ596494,JQ596533,JQ596571,JQ596609
Cgunaleni_LACM183224,Los Angeles County Museum,MT958321,MT963993,MT959249,MT959395,MT965287,-,-,MT964846,MT961008,MT961241,MT961730,MT962157,MT962648,MT963086,MT963455
Cguttata_FMNH265273,Field Museum of Natural History,KX558368,KX558855,KX558332,KX558931,KX559048,FJ770630,KX559195,KX558783,KX558679,FJ770674,FJ770719,KX559229,FJ770809,FJ770855,KX559081
Cguttata_MVZ175961,Museum of Vertebrate Zoology,KX558369,KX558856,KC181165,KX558932,MT965047,FJ770629,KX559196,MT964582,KX558680,FJ770673,FJ770718,MT962159,FJ770808,FJ770854,MT963457
Chmccordi_493,University of Canberra Wildlife Tissue Collection,MT958324,MT963996,MT959250,MT959398,MT965447,-,-,MT964980,-,-,MT961731,MT962160,MT962649,MT963087,MT963458
Chmccordi_HBS121005,H.B Shaffer Collection,MT958325,MT963997,MT959251,MT959399,MT965289,MT959924,-,MT964939,MT960997,MT961242,MT961732,MT962161,MT962650,MT963088,MT963459
Chmccordi_HBS121006,H.B Shaffer Collection,MT958326,MT963998,MT959252,MT959400,MT965288,MT959925,-,MT964940,MT960774,MT961243,MT961733,MT962162,MT962651,MT963089,MT963460
Choodensis_HBS117531,H.B Shaffer Collection,MT958327,MT963999,MT959162,MT959401,MT965129,MT959926,MT960339,MT964657,MT961027,MT961244,MT961734,MT962163,MT962652,MT963090,MT963461
Choodensis_HBS117532,H.B Shaffer Collection,MT958328,MT964000,MT959163,MT959402,MT965130,MT959927,MT960340,MT964658,MT961042,MT961245,MT961735,MT962164,MT962653,MT963091,MT963462
Cindica_HBS125613,H.B Shaffer Collection,MT958329,MT964001,MT958834,MT959403,MT965532,MT959928,MT960341,MT964494,MT961009,MT961246,-,-,MT962654,-,MT963463
Cindica_HBS125617,H.B Shaffer Collection,MT958330,MT964002,MT958835,MT959404,MT965521,MT959929,MT960342,MT964887,-,MT961247,MT961736,-,MT962655,-,MT963464
